0	ci	ci	1
1	sono	sono	1
2	delle	delle	1
3	università	università	1
4	sì	sì	1
5	no	no	1
6	_	è	0
7	_	vero	0
8	_	in	0
9	_	città	0
10	le	_	0
11	_	e	0
12	università	_	0
13	_	un	0
14	è	_	0
15	_	po'	0
16	proprio	_	0
17	_	più	0
18	in	in	1
19	città	città	1
20	_	c'	0
21	_	è	0
22	_	tutto	0
23	_	più	0
24	_	nella	0
25	_	capital-	0
26	ok	ok	1
27	_	{P}	0
28	ok	ok	1
29	ok	ok	1
30	_	e	0
31	_	di	0
32	in	_	0
33	_	em	0
34	capitale	capitale	1
35	in	in	1
36	capitale	capitale	1
37	ok	ok	1
38	e	e	1
39	se	se	1
40	devi	devi	1
41	_	son	0
42	e	_	0
43	_	che	0
44	quindi	_	0
45	_	suono	0
46	va	_	0
47	_	ni..	0
48	be'	_	0
49	_	vabbè	0
50	adesso	adesso	1
51	faccio	faccio	1
52	finire	finire	1
53	qui	_	0
54	detali	_	0
55	così	_	0
56	che	_	0
57	ci	_	0
58	vengono	_	0
59	_	si	0
60	vengono	_	0
61	_	andava	0
62	abbastanza	abbastanza	1
63	bene	bene	1
64	no	no	1
65	sì	sì	1
66	_	proviamo	0
67	_	a	0
68	per	_	0
69	_	vedere	0
70	non	_	0
71	_	se	0
72	vederse	_	0
73	_	em	0
74	allora	allora	1
75	dimmi	dimmi	1
76	la	la	1
77	capitale	capitale	1
78	è	è	1
79	molto	molto	1
80	grande	grande	1
81	la	la	1
82	capitale	capitale	1
83	è	_	0
84	molto	molto	1
85	grande	grande	1
86	_	e	0
87	_	trecento	0
88	_	sei	0
89	_	virgola	0
90	_	quattro	0
91	_	e	0
92	3064	_	0
93	_	chilometri	0
94	km²	_	0
95	_	quadrati	0
96	ok	ok	1
97	e	e	1
98	popolazione	popolazione	1
99	_	in	0
100	_	e	0
101	14	_	0
102	_	quattordici	0
103	milioni	milioni	1
104	_	{P}	0
105	_	quattordici	0
106	_	punto	0
107	144	_	0
108	_	quattro	0
109	milioni	milioni	1
110	_	eh	0
111	_	ceh	0
112	cioè	_	0
113	_	a	0
114	bologna	bologna	1
115	è	è	1
116	_	trecento	0
117	_	cinquantacinque	0
118	350000	_	0
119	_	mila	0
120	persone	persone	1
121	_	eh	0
122	_	{ride}	0
123	_	da	0
124	_	trecento	0
125	beh	_	0
126	_	cinquanta	0
127	350000	_	0
128	_	mila	0
129	ma	ma	1
130	devo	devo	1
131	essere	essere	1
132	quanto	quanto	1
133	grande	grande	1
134	bologna	bologna	1
135	non	non	1
136	so	so	1
137	di	di	1
138	_	chilometri	0
139	km²	_	0
140	_	quadrati	0
141	però	però	1
142	_	{P}	0
143	_	{ride}	0
144	decisamente	decisamente	1
145	più	più	1
146	grande	grande	1
147	_	di	0
148	_	bologna	0
149	ma	ma	1
150	infatti	infatti	1
151	mi	mi	1
152	sembrava	sembrava	1
153	impossibile	impossibile	1
154	ma	ma	1
155	il	il	1
156	ragazzo	ragazzo	1
157	ieri	ieri	1
158	_	insisteva	0
159	_	e	0
160	_	ancora	0
161	e	e	1
162	guarda	guarda	1
163	che	che	1
164	bologna	_	0
165	_	bolognia	0
166	è	è	1
167	_	cento	0
168	_	quattr-	0
169	_	cento	0
170	_	quaranta	0
171	_	eh	0
172	_	sì	0
173	_	cento	0
174	_	quaranta	0
175	_	virgola	0
176	140	_	0
177	_	nove	0
178	1409	_	0
179	_	chilometri	0
180	km²	_	0
181	_	quadrati	0
182	che	che	1
183	_	se	0
184	separiamo	_	0
185	_	parliamo	0
186	fino	fino	1
187	a	a	1
188	da	da	1
189	_	am	0
