0	persone	persone	1
1	che	che	1
2	magari	magari	1
3	poi	_	0
4	voi	_	0
5	_	puoi	0
6	avete	_	0
7	_	avere	0
8	incontrato	incontrato	1
9	_	un	0
10	_	po'	0
11	_	mh	0
12	_	bah	0
13	_	eh	0
14	_	si	0
15	beh	_	0
16	_	cioè	0
17	è	è	1
18	sempre	sempre	1
19	pieno	pieno	1
20	di	_	0
21	persone	_	0
22	_	dipersone	0
23	che	che	1
24	fanno	fanno	1
25	_	l'	0
26	le	_	0
27	_	elemosina	0
28	emosine	_	0
29	_	sotto	0
30	sulle	_	0
31	_	i	0
32	portici	portici	1
33	_	mhmh	0
34	soprattutto	soprattutto	1
35	se	_	0
36	vieni	_	0
37	_	su	0
38	in	_	0
39	_	via	0
40	pendenza	_	0
41	_	indipendenza	0
42	ce	ce	1
43	ne	ne	1
44	sono	sono	1
45	diversi	diversi	1
46	_	sì	0
47	_	è	0
48	_	vero	0
49	anche	anche	1
50	sotto	sotto	1
51	i	i	1
52	portici	portici	1
53	di	di	1
54	via	via	1
55	_	di	0
56	_	viale	0
57	le	_	0
58	_	mh	0
59	masini	masini	1
60	perché	perché	1
61	io	io	1
62	passo	passo	1
63	spesso	spesso	1
64	di	di	1
65	lì	lì	1
66	_	eh	0
67	però	però	1
68	a	_	0
69	parte	_	0
70	_	apparte	0
71	insomma	insomma	1
72	persone	persone	1
73	che	che	1
74	fanno	fanno	1
75	_	l'	0
76	_	elemosina	0
77	le	_	0
78	_	sì	0
79	emosine	_	0
80	_	mh	0
81	si	_	0
82	_	ah	0
83	incontri	incontri	1
84	anche	anche	1
85	molte	molte	1
86	persone	persone	1
87	che	che	1
88	ti	ti	1
89	fermano	fermano	1
90	_	per	0
91	_	mhmh	0
92	_	sì	0
93	per	per	1
94	_	chiederti	0
95	_	di	0
96	fare	fare	1
97	_	beneficienza	0
98	veneficienza	_	0
99	_	{ride}	0
100	le	le	1
101	classiche	classiche	1
102	persone	persone	1
103	che	che	1
104	sono	sono	1
105	sotto	sotto	1
106	i	_	0
107	_	ai	0
108	portici	portici	1
109	_	{ride}	0
110	_	esatto	0
111	_	eh	0
112	_	mh	0
113	a	a	1
114	volte	volte	1
115	persone	persone	1
116	famose	famose	1
117	di	_	0
118	_	ogni	0
119	tanto	tanto	1
120	_	una	0
121	_	volta	0
122	hanno	_	0
123	_	ho	0
124	incontrato	incontrato	1
125	piff	piff	1
126	ad	ad	1
127	esempio	esempio	1
128	_	ah	0
129	_	ah	0
130	sì	_	0
131	_	ah	0
132	sì	_	0
133	_	sìsìsì	0
134	sì	_	0
135	_	eh	0
136	in	_	0
137	_	x	0
138	un	un	1
139	hotel	hotel	1
140	che	che	1
141	è	è	1
142	lì	lì	1
143	su	su	1
144	di	_	0
145	_	via	0
146	indipendenti	_	0
147	_	indipendenza	0
148	anche	anche	1
149	i	_	0
150	cremonini	cremonini	1
151	dicono	dicono	1
152	che	che	1
153	si	si	1
154	_	aspetti	0
155	_	x	0
156	_	neanche	0
157	_	io	0
158	_	mai	0
159	aspettano	_	0
160	_	cremoni-	0
161	eh	eh	1
