S1	1	0.12	0.28	va
S1	1	0.28	0.44	be'
S1	1	0.44	0.6	era
S1	1	0.6	1.12	leggera
S1	1	1.12	1.86	però
S1	2	2.04	2.4	no
S1	2	2.4	2.62	no
S1	2	2.62	2.7	no
S1	2	2.7	2.82	è
S1	2	2.82	3.14	vero
S1	3	4.12	4.5	non
S1	3	4.5	4.64	era
S1	3	4.64	5.4	pesantissima
S1	4	6.48	6.72	per
S1	4	6.72	7.24	niente
S1	5	7.5	7.62	l'unica
S1	5	7.62	7.88	cosa
S1	5	7.96	8.08	ho
S1	5	8.08	8.42	esagerato
S1	5	8.42	8.5	un
S1	5	8.5	8.66	po'
S1	5	8.66	8.76	con
S1	5	8.76	9.1	l'olio
S1	5	9.1	9.56	forse
S1	6	10.8	10.96	ma
S1	6	10.96	11.74	nell'impasto
S1	6	11.74	11.94	no?
S1	6	12.04	12.16	fuori?
S1	7	12.16	12.88	fuori
S1	7	13.04	13.42	nell'impasto
S1	7	13.42	13.52	ci
S1	7	13.52	13.6	l'ho
S1	7	13.6	13.88	messo
S1	7	13.88	14.02	il
S1	7	14.02	14.36	giusto
S1	8	14.72	14.96	però
S1	8	14.96	15.1	in
S1	8	15.1	15.54	padella
S1	9	16.92	17.06	mi
S1	9	17.06	17.14	che
S1	9	17.14	17.22	ha
S1	9	17.22	17.3	detto
S1	9	17.44	17.6	metti
S1	10	17.6	18.62	l'olio
S1	10	18.62	18.74	da
S1	10	18.74	19.34	friggere
S1	10	19.66	19.76	così
S1	10	19.76	20.01	vengono
S1	11	20.01	20.58	meglio
S1	11	20.88	21.0	ho
S1	11	21.0	21.22	detto
S1	11	21.22	21.62	ok
S1	12	22.28	22.42	e
S1	12	22.42	22.56	ho
S1	12	22.56	23.0	fatto
S1	12	23.24	23.32	però
S1	12	23.32	23.84	praticamente
S1	13	24.1	24.42	ho
S1	13	24.42	25.56	messo
S1	14	25.64	26.46	tutto
S1	14	26.46	26.6	il
S1	14	26.6	26.78	fondo
S1	14	26.78	26.96	della
S1	14	26.96	27.24	padella
S1	14	27.24	27.34	era
S1	14	27.34	27.7	pieno
S1	14	27.7	27.82	di
S1	14	27.82	28.06	olio
S1	15	29.38	29.48	io
S1	15	29.48	29.66	volevo
S1	15	29.66	29.9	mettere
S1	15	29.9	30.06	un
S1	15	30.06	30.39	filo
S1	16	30.39	30.74	per
S1	16	30.74	31.0	farle
S1	16	31.0	31.54	venire
S1	17	31.54	32.22	mezzi
S1	17	32.22	32.78	tra
S1	18	34.82	35.64	cotti
S1	19	35.76	36.14	nella
S1	19	36.14	36.5	padella
S1	19	36.5	36.96	unta
S1	19	37.02	37.44	invece
S1	20	38.84	38.98	i
S1	20	38.98	39.24	primi
S1	20	39.24	39.4	sono
S1	20	39.4	39.58	venuti
S1	20	39.58	39.68	un
S1	20	39.68	39.8	po'
S1	21	39.8	40.18	deep
S1	21	40.18	40.64	fried
S1	21	40.64	41.08	quasi
S1	22	43.82	44.0	beh
S1	22	44.0	44.22	oggi
S1	22	44.22	44.5	abbiamo
S1	22	44.5	44.92	fatto
S1	22	44.92	45.42	colazione
S1	22	45.42	45.66	con
S1	23	45.66	46.52	pancake
S1	23	46.52	46.78	con
S1	23	46.78	47.38	nutella
S1	24	47.6	47.82	è
S1	24	47.82	48.12	rimasto
S1	24	48.12	48.24	un
S1	24	48.24	48.36	altro
S1	24	48.36	48.8	pancake
S1	24	48.8	48.98	se
S1	24	48.98	49.52	vuoi
S1	25	49.74	50.0	mangi
S1	25	50.0	50.12	tu
