S1	1	0.18	0.7	persone
S1	1	0.7	0.86	che
S1	1	0.86	1.14	magari
S1	1	1.14	1.34	poi
S1	1	1.34	1.44	voi
S1	1	1.44	1.6	avete
S1	1	1.6	2.3	incontrato?
S1	2	3.7	4.02	beh
S1	2	5.4	5.74	è
S1	2	5.74	6.0	sempre
S1	2	6.0	6.3	pieno
S1	2	6.3	6.64	di
S1	2	6.64	7.28	persone
S1	2	7.28	7.46	che
S1	2	7.46	7.68	fanno
S1	2	7.68	7.82	le
S1	2	7.82	8.22	emosine
S1	2	8.22	8.54	sulle
S1	2	8.54	9.1	portici
S1	3	9.76	10.18	soprattutto
S1	3	10.18	10.38	se
S1	3	10.38	10.54	vieni
S1	3	10.54	10.88	in
S1	3	10.88	11.46	pendenza
S1	3	11.64	11.76	ce
S1	3	11.76	11.78	ne
S1	3	11.78	11.96	sono
S1	3	11.96	12.66	diversi
S1	4	13.54	13.8	anche
S1	4	13.8	14.04	sotto
S1	4	14.04	14.16	i
S1	4	14.16	14.58	portici
S1	4	14.58	16.14	di
S1	4	16.14	16.32	via
S1	4	16.32	16.46	le
S1	4	16.46	19.3	masini
S1	5	19.74	19.98	perché
S1	5	19.98	20.08	io
S1	5	20.08	20.3	passo
S1	5	20.3	20.7	spesso
S1	5	20.7	20.86	di
S1	5	20.86	21.1	lì
S1	6	24.34	24.6	però
S1	6	24.6	24.78	a
S1	6	24.78	25.1	parte
S1	6	25.2	25.36	insomma
S1	6	25.88	26.02	persone
S1	6	26.02	26.6	che
S1	6	26.6	26.82	fanno
S1	6	26.82	26.98	le
S1	6	26.98	27.7	emosine
S1	7	27.92	28.34	si
S1	7	28.34	30.14	incontri
S1	7	30.14	30.32	anche
S1	7	30.32	30.52	molte
S1	7	30.52	30.8	persone
S1	7	30.8	30.92	che
S1	7	30.92	31.1	ti
S1	7	31.1	31.56	fermano
S1	7	31.56	32.46	per
S1	7	32.46	33.1	fare
S1	7	33.1	34.23	veneficienza
S1	8	34.23	35.38	le
S1	8	35.38	35.74	classiche
